year,ekey,akey,medal
2000,333,397,
2004,161,397,
1924,111,398,
1936,258,398,
1936,111,398,
1948,111,398,
1952,300,398,
1952,111,398,
1920,528,399,S
2012,165,400,
1992,420,401,G
2008,482,402,
2016,482,402,
1960,461,403,
1960,146,403,
1960,551,403,
1960,431,403,
1960,147,403,
1900,541,404,G
1904,541,404,G
2016,420,405,
1948,496,406,
1988,212,408,
1952,496,409,
1996,475,410,
2000,212,411,G
2016,212,412,
1968,102,413,
1972,541,413,
1976,102,413,
1912,98,414,
1912,180,416,B
1912,229,416,S
1988,354,417,
1912,119,418,
1948,148,419,
1952,389,420,
2012,420,421,
2000,411,423,G
1956,621,424,B
1956,9,424,
1996,251,425,
1972,604,427,
2004,401,428,
2004,178,428,
2008,178,428,S
2008,333,428,
2000,224,429,
2000,108,429,
2016,202,430,
2016,66,431,
1992,425,432,
1996,407,432,
2008,407,432,
2008,444,432,
2008,524,433,
2012,524,433,
2016,524,433,
1984,599,434,
1988,615,435,
1988,420,436,
1988,420,437,
1972,572,438,
1972,389,438,
2008,175,439,
2008,168,440,
2012,181,441,
2016,284,442,
1976,112,443,
1980,112,443,G
2012,155,444,
2016,155,444,
2012,475,445,
2016,398,446,
1980,167,447,
1984,167,447,
2008,333,449,
2004,222,450,
2016,520,451,
1928,496,453,
1936,496,453,
1932,168,454,G
2012,619,455,
2012,117,455,B
2012,373,455,S
2012,164,455,
2012,337,455,
2012,270,455,
2016,619,455,S
2016,117,455,
2016,373,455,S
2016,270,455,B
1976,553,456,
2016,616,457,
1996,420,458,
2012,348,459,
1972,508,460,
1972,162,460,S
1972,314,460,B
1972,223,460,
1972,572,461,
1972,389,461,
1988,28,464,
2016,578,465,
2016,162,465,B
1984,490,467,
1984,168,467,
2016,246,468,
1968,513,469,
1968,309,469,
1968,109,469,
1968,396,469,
1972,513,469,
1972,396,469,
1972,410,470,
2000,246,471,
2008,246,471,
2016,246,471,
1952,496,472,
2000,251,473,
1984,582,474,
1992,344,475,
2000,189,476,
1984,246,477,
1948,420,478,
2000,490,479,
1948,582,480,
1952,582,480,
1976,246,481,
1984,246,481,
1984,420,482,
1948,39,483,
1948,90,483,
1952,39,483,
1952,90,483,
1960,541,484,
1964,541,484,
1988,222,485,
2000,420,486,
1988,212,487,
2004,229,488,
